# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "12" "-p" "-O" "-Q" "5" "-t" "exon" "-g" "ID" "-a" "PlasmoDB-61_PfalciparumHB3.gff" "-o" "pipeline_output/counts/combined_counts.txt" "pipeline_output/bam/combined.bam" 
Geneid	Chr	Start	End	Strand	Length	pipeline_output/bam/combined.bam
exon_PfHB3_020012400-t41_1-E1	PfHB3_02	289129	289162	-	34	6
exon_PfHB3_100017600-t41_1-E1	PfHB3_10	461586	464780	+	3195	169
exon_PfHB3_050017900-t41_1-E1	PfHB3_05	566669	567478	+	810	38
exon_PfHB3_020019500-t41_1-E1	PfHB3_02	593332	595989	-	2658	56
exon_PfHB3_090024700-t41_1-E9	PfHB3_09	806243	806320	-	78	6
exon_PfHB3_090024700-t41_1-E8	PfHB3_09	806456	806516	-	61	21
exon_PfHB3_090024700-t41_1-E7	PfHB3_09	806656	806705	-	50	28
exon_PfHB3_090024700-t41_1-E6	PfHB3_09	806799	806852	-	54	32
exon_PfHB3_090024700-t41_1-E5	PfHB3_09	806985	807092	-	108	31
exon_PfHB3_090024700-t41_1-E4	PfHB3_09	807211	807307	-	97	20
exon_PfHB3_090024700-t41_1-E3	PfHB3_09	807456	807520	-	65	5
exon_PfHB3_090024700-t41_1-E2	PfHB3_09	807604	807716	-	113	5
exon_PfHB3_090024700-t41_1-E1	PfHB3_09	807914	808037	-	124	1
exon_PfHB3_130051300-t41_1-E1	PfHB3_13	1836052	1836077	+	26	0
exon_PfHB3_130051300-t41_1-E2	PfHB3_13	1836203	1836354	+	152	0
exon_PfHB3_130051300-t41_1-E3	PfHB3_13	1836490	1836538	+	49	0
exon_PfHB3_130051300-t41_1-E4	PfHB3_13	1836643	1836685	+	43	1
exon_PfHB3_130051300-t41_1-E5	PfHB3_13	1836854	1837030	+	177	0
exon_PfHB3_130051300-t41_1-E6	PfHB3_13	1837124	1837154	+	31	2
exon_PfHB3_130051300-t41_1-E7	PfHB3_13	1837273	1837370	+	98	3
exon_PfHB3_130051300-t41_1-E8	PfHB3_13	1837506	1837646	+	141	2
exon_PfHB3_130051300-t41_1-E9	PfHB3_13	1837772	1837838	+	67	0
exon_PfHB3_130051300-t41_1-E10	PfHB3_13	1837958	1838016	+	59	1
exon_PfHB3_130051300-t41_1-E11	PfHB3_13	1838350	1838517	+	168	2
exon_PfHB3_100016700-t41_1-E2	PfHB3_10	423295	423665	-	371	43
exon_PfHB3_100016700-t41_1-E1	PfHB3_10	423934	424141	-	208	31
exon_PfHB3_010008800-t41_1-E1	PfHB3_01	151903	155880	+	3978	15
exon_PfHB3_120009900-t41_1-E1	PfHB3_12	206150	207130	+	981	122
exon_PfHB3_000010900-t41_1-E1	PfHB3_00_38	9095	9274	+	180	0
exon_PfHB3_000010900-t41_1-E2	PfHB3_00_38	9453	10355	+	903	3
exon_PfHB3_130019900-t41_1-E2	PfHB3_13	604260	608347	-	4088	65
exon_PfHB3_130019900-t41_1-E1	PfHB3_13	608463	609594	-	1132	1
exon_PfHB3_140043300-t41_1-E1	PfHB3_14	1557319	1559079	+	1761	1
exon_PfHB3_050015800-t41_1-E1	PfHB3_05	472381	472594	+	214	2
exon_PfHB3_050015800-t41_1-E2	PfHB3_05	472902	473017	+	116	0
exon_PfHB3_050015800-t41_1-E3	PfHB3_05	473182	473333	+	152	0
exon_PfHB3_050015800-t41_1-E4	PfHB3_05	473476	473561	+	86	0
exon_PfHB3_050015800-t41_1-E5	PfHB3_05	473685	473758	+	74	0
exon_PfHB3_050015800-t41_1-E6	PfHB3_05	473904	474543	+	640	10
exon_PfHB3_050015800-t41_1-E7	PfHB3_05	474695	474855	+	161	4
exon_PfHB3_050015800-t41_1-E8	PfHB3_05	474952	475041	+	90	2
exon_PfHB3_050015800-t41_1-E9	PfHB3_05	475151	475238	+	88	2
exon_PfHB3_050015800-t41_1-E10	PfHB3_05	475379	475460	+	82	1
exon_PfHB3_050015800-t41_1-E11	PfHB3_05	475537	475594	+	58	0
exon_PfHB3_050015800-t41_1-E12	PfHB3_05	475689	475769	+	81	0
exon_PfHB3_090039300-t41_1-E1	PfHB3_09	1329138	1329740	+	603	61
exon_PfHB3_040026300-t41_1-E1	PfHB3_04	915735	915903	+	169	0
exon_PfHB3_040026300-t41_1-E2	PfHB3_04	915992	916114	+	123	1
exon_PfHB3_040026300-t41_1-E3	PfHB3_04	916452	916639	+	188	2
exon_PfHB3_040026300-t41_1-E4	PfHB3_04	916822	917070	+	249	4
exon_PfHB3_140071100-t41_1-E1	PfHB3_14	2684272	2688669	+	4398	8
exon_PfHB3_100020900-t41_1-E3	PfHB3_10	607622	607702	-	81	134
exon_PfHB3_100020900-t41_1-E2	PfHB3_10	607910	609460	-	1551	784
exon_PfHB3_100020900-t41_1-E1	PfHB3_10	609737	609934	-	198	104
exon_PfHB3_040010300-t41_1-E2	PfHB3_04	246609	247984	-	1376	833
exon_PfHB3_040010300-t41_1-E1	PfHB3_04	248459	248567	-	109	167
exon_PfHB3_130069200-t41_1-E1	PfHB3_13	2551291	2553402	+	2112	3
exon_PfHB3_130069200-t41_1-E2	PfHB3_13	2553847	2558286	+	4440	70
exon_PfHB3_130062300-t41_1-E1	PfHB3_13	2246145	2246236	+	92	32
exon_PfHB3_130062300-t41_1-E2	PfHB3_13	2246362	2246421	+	60	35
exon_PfHB3_130062300-t41_1-E3	PfHB3_13	2246555	2246618	+	64	26
exon_PfHB3_130062300-t41_1-E4	PfHB3_13	2246739	2246783	+	45	16
exon_PfHB3_130041250-t41_1-E1	PfHB3_13	1444356	1444496	-	141	17
exon_PfHB3_120032500-t41_1-E3	PfHB3_12	1121194	1121967	-	774	286
exon_PfHB3_120032500-t41_1-E2	PfHB3_12	1122151	1123142	-	992	530
exon_PfHB3_120032500-t41_1-E1	PfHB3_12	1123423	1123972	-	550	220
exon_PfHB3_090027900-t41_1-E1	PfHB3_09	928017	930482	+	2466	60
exon_PfHB3_140024900-t41_1-E2	PfHB3_14	817608	817651	-	44	57
exon_PfHB3_140024900-t41_1-E1	PfHB3_14	817759	820351	-	2593	1106
exon_PfHB3_130066900-t41_1-E1	PfHB3_13	2444119	2445060	+	942	67
exon_PfHB3_080013400-t41_1-E2	PfHB3_08	397584	397727	-	144	8
exon_PfHB3_080013400-t41_1-E1	PfHB3_08	397854	397982	-	129	2
exon_PfHB3_140024100-t41_1-E1	PfHB3_14	809998	810358	+	361	8
exon_PfHB3_140024100-t41_1-E2	PfHB3_14	810475	810569	+	95	14
exon_PfHB3_140024100-t41_1-E3	PfHB3_14	810807	810851	+	45	12
exon_PfHB3_120051600-t41_1-E1	PfHB3_12	1946683	1947146	+	464	38
exon_PfHB3_120051600-t41_1-E2	PfHB3_12	1947246	1947377	+	132	46
exon_PfHB3_120051600-t41_1-E3	PfHB3_12	1947517	1947634	+	118	54
exon_PfHB3_120051600-t41_1-E4	PfHB3_12	1947732	1947803	+	72	36
exon_PfHB3_140050300-t41_1-E1	PfHB3_14	1874748	1874781	+	34	0
exon_PfHB3_140050300-t41_1-E2	PfHB3_14	1874971	1875302	+	332	5
exon_PfHB3_130057700-t41_1-E1	PfHB3_13	2081288	2081327	+	40	472
exon_PfHB3_130057700-t41_1-E2	PfHB3_13	2081535	2081803	+	269	1903
exon_PfHB3_130057700-t41_1-E3	PfHB3_13	2082274	2082576	+	303	1560
exon_PfHB3_060035800-t41_1-E1	PfHB3_06	1267474	1267542	+	69	0
exon_PfHB3_060035800-t41_1-E2	PfHB3_06	1267729	1268589	+	861	0
exon_PfHB3_100014300-t41_1-E1	PfHB3_10	349650	351890	+	2241	66
exon_PfHB3_100014300-t41_1-E2	PfHB3_10	352104	352202	+	99	7
exon_PfHB3_040015500-t41_1-E2	PfHB3_04	436748	437815	-	1068	19
exon_PfHB3_040015500-t41_1-E1	PfHB3_04	437817	440684	-	2868	12
exon_PfHB3_130023600-t41_1-E1	PfHB3_13	753195	761174	+	7980	40
exon_PfHB3_090007700-t41_1-E1	PfHB3_09	110460	110936	+	477	16
exon_PfHB3_130042200-t41_1-E1	PfHB3_13	1494191	1495870	-	1680	7
exon_PfHB3_090015600-t41_1-E1	PfHB3_09	475084	476433	+	1350	260
exon_PfHB3_060022400-t41_1-E2	PfHB3_06	714509	715104	-	596	595
exon_PfHB3_060022400-t41_1-E1	PfHB3_06	715327	715330	-	4	23
exon_PfHB3_020019300-t41_1-E1	PfHB3_02	581670	581862	+	193	22
exon_PfHB3_020019300-t41_1-E2	PfHB3_02	582022	585863	+	3842	301
exon_PfHB3_140010600-t41_1-E1	PfHB3_14	196510	197382	-	873	24
exon_PfHB3_040024300-t41_1-E1	PfHB3_04	822558	833030	+	10473	1949
exon_PfHB3_050020000-t41_1-E1	PfHB3_05	632230	634788	-	2559	1454
exon_PfHB3_130072300-t41_1-E1	PfHB3_13	2668867	2669142	+	276	33
exon_PfHB3_100027300-t41_1-E1	PfHB3_10	909725	912202	+	2478	85
exon_PfHB3_030013800-t41_1-E1	PfHB3_03	352140	352329	+	190	12
exon_PfHB3_030013800-t41_1-E2	PfHB3_03	352436	352680	+	245	15
exon_PfHB3_030013800-t41_1-E3	PfHB3_03	352790	352948	+	159	3
exon_PfHB3_090036700-t41_1-E1	PfHB3_09	1252697	1253545	-	849	277
exon_PfHB3_120025500-t41_1-E1	PfHB3_12	813642	813870	+	229	3
exon_PfHB3_120025500-t41_1-E2	PfHB3_12	814130	814481	+	352	16
exon_PfHB3_120025500-t41_1-E3	PfHB3_12	814591	814840	+	250	19
exon_PfHB3_120025500-t41_1-E4	PfHB3_12	815067	815252	+	186	7
exon_PfHB3_140054200-t41_1-E3	PfHB3_14	2017750	2017875	-	126	20
exon_PfHB3_140054200-t41_1-E2	PfHB3_14	2018035	2018140	-	106	24
exon_PfHB3_140054200-t41_1-E1	PfHB3_14	2018251	2029130	-	10880	674
exon_PfHB3_040012500-t41_1-E3	PfHB3_04	329617	329691	-	75	5
exon_PfHB3_040012500-t41_1-E2	PfHB3_04	329824	330043	-	220	8
exon_PfHB3_040012500-t41_1-E1	PfHB3_04	330179	331299	-	1121	18
exon_PfHB3_140047400-t41_1-E1	PfHB3_14	1734896	1736272	+	1377	4
exon_PfHB3_120020100-t41_1-E1	PfHB3_12	614423	615073	+	651	27
exon_PfHB3_050009700-t41_1-E1	PfHB3_05	188604	189749	+	1146	59
exon_PfHB3_130012100-t41_1-E2	PfHB3_13	310910	311748	-	839	35
exon_PfHB3_130012100-t41_1-E1	PfHB3_13	312033	312621	-	589	16
exon_PfHB3_120030600-t41_1-E1	PfHB3_12	1038348	1038371	+	24	51
exon_PfHB3_120030600-t41_1-E2	PfHB3_12	1038656	1041782	+	3127	1328
exon_PfHB3_120030600-t41_1-E3	PfHB3_12	1041937	1042208	+	272	294
exon_PfHB3_090033900-t41_1-E1	PfHB3_09	1148110	1148230	+	121	84
exon_PfHB3_090033900-t41_1-E2	PfHB3_09	1148451	1148577	+	127	149
exon_PfHB3_090033900-t41_1-E3	PfHB3_09	1148728	1148821	+	94	170
exon_PfHB3_090033900-t41_1-E4	PfHB3_09	1149024	1149300	+	277	420
exon_PfHB3_090033900-t41_1-E5	PfHB3_09	1149447	1149571	+	125	425
exon_PfHB3_090033900-t41_1-E6	PfHB3_09	1149714	1149839	+	126	405
exon_PfHB3_030019600-t41_1-E1	PfHB3_03	573046	574143	-	1098	367
exon_PfHB3_120013900-t41_1-E1	PfHB3_12	396659	397744	+	1086	22
exon_PfHB3_120013900-t41_1-E2	PfHB3_12	397843	397923	+	81	2
exon_PfHB3_120013900-t41_1-E3	PfHB3_12	398094	398123	+	30	2
exon_PfHB3_060025000:tRNA-t41_1-E1	PfHB3_06	811067	811140	+	74	1
exon_PfHB3_090026800-t41_1-E1	PfHB3_09	884267	885475	+	1209	3156
exon_PfHB3_130074400-t41_1-E4	PfHB3_13	2742398	2742510	-	113	4
exon_PfHB3_130074400-t41_1-E3	PfHB3_13	2742615	2742641	-	27	1
exon_PfHB3_130074400-t41_1-E2	PfHB3_13	2742803	2742985	-	183	1
exon_PfHB3_130074400-t41_1-E1	PfHB3_13	2743089	2743149	-	61	0
exon_PfHB3_100031600-t41_1-E1	PfHB3_10	1091700	1093262	+	1563	102
exon_PfHB3_050029600-t41_1-E1	PfHB3_05	1029867	1030640	+	774	86
exon_PfHB3_030005800-t41_1-E1	PfHB3_03	36832	38028	-	1197	6
exon_PfHB3_070029200-t41_1-E5	PfHB3_07	1038255	1038288	-	34	27
exon_PfHB3_070029200-t41_1-E4	PfHB3_07	1038552	1051240	-	12689	440
exon_PfHB3_070029200-t41_1-E3	PfHB3_07	1051456	1053105	-	1650	48
exon_PfHB3_070029200-t41_1-E2	PfHB3_07	1053288	1053508	-	221	25
exon_PfHB3_070029200-t41_1-E1	PfHB3_07	1053684	1053927	-	244	17
exon_PfHB3_140051900-t41_1-E1	PfHB3_14	1926750	1928573	-	1824	1930
exon_PfHB3_130075500-t41_1-E1	PfHB3_13	2780306	2781889	-	1584	33
exon_PfHB3_060035200-t41_1-E1	PfHB3_06	1244942	1245802	+	861	4
exon_PfHB3_100039900-t41_1-E1	PfHB3_10	1363544	1364818	+	1275	47
exon_PfHB3_060036800-t41_1-E1	PfHB3_06	1299367	1299435	+	69	3
exon_PfHB3_060036800-t41_1-E2	PfHB3_06	1299596	1300660	+	1065	592
exon_PfHB3_140025800-t41_1-E3	PfHB3_14	856811	858166	-	1356	49
exon_PfHB3_140025800-t41_1-E2	PfHB3_14	858391	858469	-	79	7
exon_PfHB3_140025800-t41_1-E1	PfHB3_14	858587	858792	-	206	8
exon_PfHB3_060006700-t41_1-E5	PfHB3_06	61746	61935	-	190	59
exon_PfHB3_060006700-t41_1-E4	PfHB3_06	62253	62731	-	479	36
exon_PfHB3_060006700-t41_1-E3	PfHB3_06	62834	63097	-	264	58
exon_PfHB3_060006700-t41_1-E2	PfHB3_06	63233	63585	-	353	191
exon_PfHB3_060006700-t41_1-E1	PfHB3_06	63754	66367	-	2614	308
exon_PfHB3_040024000-t41_1-E1	PfHB3_04	799510	809403	-	9894	5405
exon_PfHB3_090019000-t41_1-E2	PfHB3_09	594076	594141	-	66	17
exon_PfHB3_090019000-t41_1-E1	PfHB3_09	594311	596548	-	2238	318
exon_PfHB3_130047100-t41_1-E1	PfHB3_13	1653160	1653256	+	97	9
exon_PfHB3_130047100-t41_1-E2	PfHB3_13	1653383	1653606	+	224	33
exon_PfHB3_070034000-t41_1-E1	PfHB3_07	1278043	1278141	+	99	35
exon_PfHB3_070034000-t41_1-E2	PfHB3_07	1278282	1279136	+	855	241
exon_PfHB3_070009700-t41_1-E3	PfHB3_07	258540	258548	-	9	421
exon_PfHB3_070009700-t41_1-E2	PfHB3_07	258706	258805	-	100	720
exon_PfHB3_070009700-t41_1-E1	PfHB3_07	259173	259228	-	56	468
exon_PfHB3_050012900-t41_1-E1	PfHB3_05	338622	338674	+	53	41
exon_PfHB3_050012900-t41_1-E2	PfHB3_05	338832	338990	+	159	73
exon_PfHB3_050012900-t41_1-E3	PfHB3_05	339153	339294	+	142	37
exon_PfHB3_040027700-t41_1-E1	PfHB3_04	969932	972223	+	2292	1
exon_PfHB3_040027700-t41_1-E2	PfHB3_04	972382	977163	+	4782	11
exon_PfHB3_040024200-t41_1-E1	PfHB3_04	814817	816601	+	1785	11
exon_PfHB3_130007300-t41_1-E4	PfHB3_13	100789	100862	-	74	15
exon_PfHB3_130007300-t41_1-E3	PfHB3_13	100999	101081	-	83	30
exon_PfHB3_130007300-t41_1-E2	PfHB3_13	101211	101289	-	79	55
exon_PfHB3_130007300-t41_1-E1	PfHB3_13	101430	104826	-	3397	790
exon_PfHB3_110025700-t41_1-E1	PfHB3_11	767908	773793	+	5886	20
exon_PfHB3_090016200-t41_1-E2	PfHB3_09	503193	506788	-	3596	101
exon_PfHB3_090016200-t41_1-E1	PfHB3_09	506930	506993	-	64	3
exon_PfHB3_130071800-t41_1-E1	PfHB3_13	2652623	2652697	+	75	15
exon_PfHB3_130071800-t41_1-E2	PfHB3_13	2653012	2654157	+	1146	46
exon_PfHB3_040012300-t41_1-E1	PfHB3_04	324844	326712	+	1869	91
exon_PfHB3_130063100-t41_1-E1	PfHB3_13	2272576	2274018	-	1443	65
exon_PfHB3_080013800-t41_1-E1	PfHB3_08	421442	428728	+	7287	405
exon_PfHB3_080013800-t41_1-E2	PfHB3_08	429632	430975	+	1344	90
exon_PfHB3_020009500-t41_1-E1	PfHB3_02	182720	184234	-	1515	525
exon_PfHB3_140012100-t41_1-E1	PfHB3_14	252985	261480	+	8496	6921
exon_PfHB3_050005400-t41_1-E1	PfHB3_05	32929	32997	+	69	0
exon_PfHB3_050005400-t41_1-E2	PfHB3_05	33181	34098	+	918	0
exon_PfHB3_120016500-t41_1-E4	PfHB3_12	491968	492035	-	68	9
exon_PfHB3_120016500-t41_1-E3	PfHB3_12	492134	492209	-	76	12
exon_PfHB3_120016500-t41_1-E2	PfHB3_12	492323	495540	-	3218	93
exon_PfHB3_120016500-t41_1-E1	PfHB3_12	495624	495669	-	46	1
exon_PfHB3_130053900-t41_1-E1	PfHB3_13	1931591	1931645	+	55	0
exon_PfHB3_130053900-t41_1-E2	PfHB3_13	1931912	1932009	+	98	0
exon_PfHB3_130053900-t41_1-E3	PfHB3_13	1932189	1932227	+	39	0
exon_PfHB3_130053900-t41_1-E4	PfHB3_13	1932372	1932528	+	157	3
exon_PfHB3_130053900-t41_1-E5	PfHB3_13	1932711	1932748	+	38	5
exon_PfHB3_130053900-t41_1-E6	PfHB3_13	1932871	1932901	+	31	3
exon_PfHB3_130053900-t41_1-E7	PfHB3_13	1933031	1933074	+	44	2
exon_PfHB3_130053900-t41_1-E8	PfHB3_13	1933203	1933270	+	68	3
exon_PfHB3_130053900-t41_1-E9	PfHB3_13	1933388	1933424	+	37	1
exon_PfHB3_130053900-t41_1-E10	PfHB3_13	1933531	1933591	+	61	2
exon_PfHB3_130053900-t41_1-E11	PfHB3_13	1933695	1933739	+	45	3
exon_PfHB3_130053900-t41_1-E12	PfHB3_13	1933866	1933930	+	65	7
exon_PfHB3_130053900-t41_1-E13	PfHB3_13	1934059	1934092	+	34	4
exon_PfHB3_130053900-t41_1-E14	PfHB3_13	1934190	1934251	+	62	2
exon_PfHB3_050035700-t41_1-E3	PfHB3_05	1266141	1266194	-	54	4
exon_PfHB3_050035700-t41_1-E2	PfHB3_05	1266318	1266425	-	108	14
exon_PfHB3_050035700-t41_1-E1	PfHB3_05	1266547	1266657	-	111	3
exon_PfHB3_140021600-t41_1-E1	PfHB3_14	669337	671055	-	1719	6
exon_PfHB3_070030900-t41_1-E2	PfHB3_07	1123162	1136382	-	13221	88
exon_PfHB3_070030900-t41_1-E1	PfHB3_07	1136384	1139878	-	3495	40
exon_PfHB3_030020300-t41_1-E1	PfHB3_03	598990	600375	+	1386	59
exon_PfHB3_120047500-t41_1-E1	PfHB3_12	1805871	1807346	+	1476	127
exon_PfHB3_120047500-t41_1-E2	PfHB3_12	1807530	1807619	+	90	37
exon_PfHB3_130050500-t41_1-E1	PfHB3_13	1797976	1800774	+	2799	2700
exon_PfHB3_140054500-t41_1-E2	PfHB3_14	2034619	2035127	-	509	27
exon_PfHB3_140054500-t41_1-E1	PfHB3_14	2035320	2035629	-	310	6
exon_PfHB3_120009600-t41_1-E1	PfHB3_12	198447	198932	-	486	2907
exon_PfHB3_030006500-t41_1-E3	PfHB3_03	77161	77448	-	288	5
exon_PfHB3_030006500-t41_1-E2	PfHB3_03	77559	77660	-	102	4
exon_PfHB3_030006500-t41_1-E1	PfHB3_03	77777	77845	-	69	2
exon_PfHB3_140053700-t41_1-E2	PfHB3_14	1993732	1997474	-	3743	727
exon_PfHB3_140053700-t41_1-E1	PfHB3_14	1997571	1997673	-	103	35
exon_PfHB3_040005600-t41_1-E2	PfHB3_04	27099	28664	-	1566	176
exon_PfHB3_040005600-t41_1-E1	PfHB3_04	28837	28932	-	96	3
exon_PfHB3_130050800-t41_1-E3	PfHB3_13	1816686	1817145	-	460	12
exon_PfHB3_130050800-t41_1-E2	PfHB3_13	1817226	1817547	-	322	22
exon_PfHB3_130050800-t41_1-E1	PfHB3_13	1817703	1817745	-	43	9
exon_PfHB3_130008900-t41_1-E1	PfHB3_13	175675	179846	+	4172	1489
exon_PfHB3_130008900-t41_1-E2	PfHB3_13	180039	180464	+	426	145
exon_PfHB3_130008900-t41_1-E3	PfHB3_13	180599	180728	+	130	77
exon_PfHB3_130006800-t41_1-E2	PfHB3_13	80282	80977	-	696	0
exon_PfHB3_130006800-t41_1-E1	PfHB3_13	81072	81203	-	132	0
exon_PfHB3_000011000-t41_1-E1	PfHB3_00_38	12626	12694	+	69	0
exon_PfHB3_000011000-t41_1-E2	PfHB3_00_38	12769	13773	+	1005	0
exon_PfHB3_050023700-t41_1-E5	PfHB3_05	785472	788162	-	2691	25
exon_PfHB3_050023700-t41_1-E4	PfHB3_05	788366	788602	-	237	1
exon_PfHB3_050023700-t41_1-E3	PfHB3_05	788803	789060	-	258	2
exon_PfHB3_050023700-t41_1-E2	PfHB3_05	789208	789377	-	170	2
exon_PfHB3_050023700-t41_1-E1	PfHB3_05	789511	791872	-	2362	5
exon_PfHB3_060024100-t41_1-E1	PfHB3_06	790383	791084	+	702	127
exon_PfHB3_010013800-t41_1-E1	PfHB3_01	332400	332414	+	15	3
exon_PfHB3_010013800-t41_1-E2	PfHB3_01	332567	332738	+	172	3
exon_PfHB3_010013800-t41_1-E3	PfHB3_01	332906	332991	+	86	3
exon_PfHB3_010013800-t41_1-E4	PfHB3_01	333127	333154	+	28	3
exon_PfHB3_010013800-t41_1-E5	PfHB3_01	333288	333423	+	136	10
exon_PfHB3_010013800-t41_1-E6	PfHB3_01	333577	333643	+	67	5
exon_PfHB3_030021600-t41_1-E1	PfHB3_03	660284	668053	+	7770	753
exon_PfHB3_030021600-t41_1-E2	PfHB3_03	668229	668300	+	72	22
exon_PfHB3_030021600-t41_1-E3	PfHB3_03	668379	668455	+	77	23
exon_PfHB3_030021600-t41_1-E4	PfHB3_03	668601	668667	+	67	16
exon_PfHB3_030021600-t41_1-E5	PfHB3_03	668823	668869	+	47	20
exon_PfHB3_030021600-t41_1-E6	PfHB3_03	669053	669124	+	72	25
exon_PfHB3_030021600-t41_1-E7	PfHB3_03	669227	669269	+	43	25
exon_PfHB3_030021600-t41_1-E8	PfHB3_03	669368	669441	+	74	37
exon_PfHB3_030021600-t41_1-E9	PfHB3_03	669558	669860	+	303	90
exon_PfHB3_030021600-t41_1-E10	PfHB3_03	670004	670085	+	82	12
exon_PfHB3_110035300-t41_1-E1	PfHB3_11	1147673	1152454	-	4782	277
exon_PfHB3_080033300-t41_1-E2	PfHB3_08	1218622	1219897	-	1276	2696
exon_PfHB3_080033300-t41_1-E1	PfHB3_08	1220087	1220262	-	176	226
exon_PfHB3_140018300-t41_1-E5	PfHB3_14	528951	535524	-	6574	424
exon_PfHB3_140018300-t41_1-E4	PfHB3_14	535675	537554	-	1880	67
exon_PfHB3_140018300-t41_1-E3	PfHB3_14	537777	538255	-	479	87
exon_PfHB3_140018300-t41_1-E2	PfHB3_14	538468	538653	-	186	66
exon_PfHB3_140018300-t41_1-E1	PfHB3_14	538832	538943	-	112	27
exon_PfHB3_040029500-t41_1-E2	PfHB3_04	1032536	1033786	-	1251	25
exon_PfHB3_040029500-t41_1-E1	PfHB3_04	1034552	1039984	-	5433	11
exon_PfHB3_140079200-t41_1-E3	PfHB3_14	3031620	3033599	-	1980	37
exon_PfHB3_140079200-t41_1-E2	PfHB3_14	3033601	3033750	-	150	0
exon_PfHB3_140079200-t41_1-E1	PfHB3_14	3033752	3035398	-	1647	13
exon_PfHB3_110048600-t41_1-E1	PfHB3_11	1727491	1729782	+	2292	20
exon_PfHB3_110048600-t41_1-E2	PfHB3_11	1729936	1730098	+	163	10
exon_PfHB3_110048600-t41_1-E3	PfHB3_11	1730208	1730254	+	47	6
exon_PfHB3_040017900-t41_1-E4	PfHB3_04	527827	527920	-	94	36
exon_PfHB3_040017900-t41_1-E3	PfHB3_04	528081	528168	-	88	44
exon_PfHB3_040017900-t41_1-E2	PfHB3_04	528341	530622	-	2282	642
exon_PfHB3_040017900-t41_1-E1	PfHB3_04	530788	530885	-	98	51
exon_PfHB3_050018000-t41_1-E3	PfHB3_05	568462	568526	-	65	28
exon_PfHB3_050018000-t41_1-E2	PfHB3_05	568603	569169	-	567	79
exon_PfHB3_050018000-t41_1-E1	PfHB3_05	569329	569452	-	124	18
exon_PfHB3_140022500-t41_1-E1	PfHB3_14	704129	713221	-	9093	23
exon_PfHB3_100014700-t41_1-E1	PfHB3_10	365291	365562	+	272	1527
exon_PfHB3_100014700-t41_1-E2	PfHB3_10	365658	365719	+	62	370
exon_PfHB3_100014700-t41_1-E3	PfHB3_10	365861	365883	+	23	333
exon_PfHB3_110012200-t41_1-E1	PfHB3_11	292170	292362	+	193	0
exon_PfHB3_110012200-t41_1-E2	PfHB3_11	292551	292825	+	275	0
exon_PfHB3_110040100-t41_1-E1	PfHB3_11	1366974	1367031	+	58	6
exon_PfHB3_110040100-t41_1-E2	PfHB3_11	1367190	1367433	+	244	25
exon_PfHB3_110040100-t41_1-E3	PfHB3_11	1367727	1367827	+	101	19
exon_PfHB3_110040100-t41_1-E4	PfHB3_11	1367951	1368037	+	87	21
